query,expected_answer,generated_answer,cosine_similarity,result,cosine_check,expected_check
"I have symptoms such as burning micturition, continuous feel of urine, foul smell of urine. What the name of the disease?",Urinary tract infection,urinary tract infection,1.0000000000000002,True,True,True
"I have symptoms such as history of alcohol consumption, distention of abdomen, yellowish skin, swelling of stomach, abdominal pain. What the name of the disease?",Alcoholic hepatitis,alcohol hepatitis,0.33609692727625756,False,False,False
"I have symptoms such as blackheads, pus filled pimples, scurring. What the name of the disease?",Acne,Acne vulgaris,0.5797386715376658,True,False,True
"What is the disease name based on this description: Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.?",AIDS,AIDS,1.0,True,True,True
"I have symptoms such as abnormal menstruation, diarrhea, excessive hunger, fast heart rate, fatigue, irritability, muscle weakness, restlessness, sweating, weight loss. What the name of the disease?",Hyperthyroidism,Hyperthyroidism,1.0,True,True,True
"I have symptoms such as diarrhea, sunken eyes, vomiting. What the name of the disease?",Gastroenteritis,Gastroenteritis,1.0,True,True,True
"I have symptoms such as swelling joints, joint pain, knee pain, painful walking. What the name of the disease?",Osteoarthristis,Arthritis,0.0,False,False,False
"What is the disease name based on this description: Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol?",Alcoholic hepatitis,Hepatitis D,0.5797386715376658,False,False,False
"I have symptoms such as abdominal pain, chills, constipation, diarrhea, fatigue, headache, high fever, nausea, toxic look (typhos), vomiting. What the name of the disease?",Typhoid,Typhoid,1.0,True,True,True
"I have symptoms such as swelled lymph nodes, itching, headache, lethargy, mild fever, skin rash, red spots over body, loss of appetite. What the name of the disease?",Chicken pox,Chicken pox,1.0000000000000002,True,True,True
"I have symptoms such as abdominal pain, belly pain, chills, constipation, fatigue, headache, high fever, nausea, toxic look (typhos), vomiting. What the name of the disease?",Typhoid,Typhoid,1.0,True,True,True
"I have symptoms such as fatigue, headache, high fever, itching, lethargy, loss of appetite, malaise, mild fever, red spots over body, skin rash. What the name of the disease?",Chicken pox,Dengue,0.0,False,False,False
"I have symptoms such as cough, sweating, fatigue, malaise, breathlessness, chest pain, fast heart rate, rusty sputum, high fever, phlegm. What the name of the disease?",Pneumonia,Pneumonia,1.0,True,True,True
"I have symptoms such as abnormal menstruation, brittle nails, cold hands and feets, depression, dizziness, enlarged thyroid, fatigue, irritability, lethargy, mood swings, puffy face and eyes, swollen extremeties, weight gain. What the name of the disease?",Hypothyroidism,Hypothyroidism,1.0,True,True,True
"I have symptoms such as breathlessness, chest pain, chills, fast heart rate, fatigue, high fever, malaise, phlegm, rusty sputum, sweating. What the name of the disease?",Pneumonia,Pneumonia,1.0,True,True,True
"I have symptoms such as loss of appetite, itching, receiving blood transfusion, receiving unsterile injections, yellowish skin, fatigue, dark urine, yellowing of eyes, malaise. What the name of the disease?",Hepatitis B,Hepatitis B,1.0,True,True,True
"I have symptoms such as abnormal menstruation, diarrhea, excessive hunger, fast heart rate, irritability, mood swings, muscle weakness, restlessness, sweating, weight loss. What the name of the disease?",Hyperthyroidism,Hyperthyroidism,1.0,True,True,True
"I have symptoms such as abdominal pain, belly pain, chills, diarrhea, fatigue, headache, high fever, nausea, toxic look (typhos), vomiting. What the name of the disease?",Typhoid,Typhoid,1.0,True,True,True
"I have symptoms such as abnormal menstruation, diarrhea, fast heart rate, fatigue, irritability, mood swings, muscle weakness, restlessness, sweating, weight loss. What the name of the disease?",Hyperthyroidism,Hyperthyroidism,1.0,True,True,True
"I have symptoms such as blurred and distorted vision, depression, excessive hunger, headache, indigestion, irritability, stiff neck, visual disturbances. What the name of the disease?",Migraine,Hypoglycemia,0.0,False,False,False
What is the description of the disease Osteoarthristis?,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.",hip joint pain,0.0,False,False,False
"I have symptoms such as abdominal pain, swelling of stomach, yellowish skin, distention of abdomen, history of alcohol consumption, fluid overload. What the name of the disease?",Alcoholic hepatitis,Alcoholic Hepatitis,1.0000000000000002,True,True,True
"I have symptoms such as slurred speech, irritability, sweating, palpitations, vomiting, nausea, fatigue, excessive hunger, drying and tingling lips, anxiety, blurred and distorted vision. What the name of the disease?",Hypoglycemia,Hypoglycemia,1.0,True,True,True
"I have symptoms such as phlegm, redness of eyes, headache, malaise, muscle pain, fatigue, cough, sinus pressure, congestion, throat irritation, chest pain, swelled lymph nodes, loss of smell. What the name of the disease?",Common Cold,Pneumonia,0.0,False,False,False
"I have symptoms such as painful walking, movement stiffness, muscle weakness, stiff neck. What the name of the disease?",Arthritis,Arthritis,1.0,True,True,True
"I have symptoms such as loss of appetite, yellowish skin, abdominal pain, nausea, vomiting, itching. What the name of the disease?",Chronic cholestasis,Jaundice,0.0,False,False,False
"I have symptoms such as acidity, blurred and distorted vision, excessive hunger, headache, indigestion, irritability, stiff neck, visual disturbances. What the name of the disease?",Migraine,Diabetes,0.0,False,False,False
"I have symptoms such as fatigue, itching, dark urine, yellowish skin, high fever, weight loss, vomiting, abdominal pain. What the name of the disease?",Jaundice,Jaundice,1.0,True,True,True
"I have symptoms such as headache, loss of balance, nausea, unsteadiness, vomiting. What the name of the disease?",(vertigo) Paroymsal  Positional Vertigo,Hypoglycemia,0.0,False,False,False
"I have symptoms such as altered sensorium, headache, vomiting. What the name of the disease?",Paralysis (brain hemorrhage),Hypoglycemia,0.0,False,False,False
"I have symptoms such as blackheads, skin rash, pus filled pimples. What the name of the disease?",Acne,Acne vulgaris,0.5797386715376658,True,False,True
"I have symptoms such as acidity, chest pain, cough, stomach pain, ulcers on tongue, vomiting. What the name of the disease?",GERD,GERD,1.0,True,True,True
"I have symptoms such as breathlessness, cough, family history, high fever, mucoid sputum. What the name of the disease?",Bronchial Asthma,Bronchial Asthma,1.0000000000000002,True,True,True
What is the description of the disease Heart attack?,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.",Hypertension,0.0,False,False,False
"I have symptoms such as yellowing of eyes, swelled lymph nodes, vomiting, breathlessness, cough, chills, mild fever, malaise, blood in sputum, sweating, high fever, chest pain, loss of appetite. What the name of the disease?",Tuberculosis,Jaundice Yellow staining,0.0,False,False,False
"What is the disease name based on this description: Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.?",Arthritis,Arthritis,1.0,True,True,True
"I have symptoms such as fatigue, yellowish skin, loss of appetite, joint pain, nausea, dark urine, yellowing of eyes, abdominal pain, vomiting. What the name of the disease?",Hepatitis D,Hepatitis E,1.0,True,True,False
"I have symptoms such as stiff neck, movement stiffness, painful walking. What the name of the disease?",Arthritis,Arthritis,1.0,True,True,True
"I have symptoms such as abdominal pain, indigestion, loss of appetite, passage of gases, vomiting. What the name of the disease?",Peptic ulcer disease,GERD,0.0,False,False,False
"I have symptoms such as bloody stool, constipation, pain during bowel movements, pain in anal region. What the name of the disease?",Dimorphic hemorrhoids(piles),Urinary tract infection,0.0,False,False,False
"I have symptoms such as headache, red spots over body, itching, swelled lymph nodes, malaise, skin rash, lethargy, high fever. What the name of the disease?",Chicken pox,Chicken pox,1.0000000000000002,True,True,True
"I have symptoms such as acidity, blurred and distorted vision, depression, excessive hunger, indigestion, irritability, stiff neck, visual disturbances. What the name of the disease?",Migraine,Hypoglycemia,0.0,False,False,False
"I have symptoms such as bloody stool, pain during bowel movements, constipation, pain in anal region. What the name of the disease?",Dimorphic hemorrhoids(piles),Urinary tract infection,0.0,False,False,False
"I have symptoms such as distention of abdomen, yellowish skin, history of alcohol consumption, swelling of stomach, vomiting, fluid overload. What the name of the disease?",Alcoholic hepatitis,Alcoholic Hepatitis,1.0000000000000002,True,True,True
"I have symptoms such as breathlessness, chest pain, chills, cough, fast heart rate, fatigue, high fever, phlegm, rusty sputum, sweating. What the name of the disease?",Pneumonia,Pneumonia,1.0,True,True,True
"I have symptoms such as dehydration, diarrhea, sunken eyes. What the name of the disease?",Gastroenteritis,Hypoglycemia,0.0,False,False,False
"I have symptoms such as abdominal pain, belly pain, chills, constipation, diarrhea, fatigue, headache, high fever, nausea, vomiting. What the name of the disease?",Typhoid,Typhoid,1.0,True,True,True
"What is the disease name based on this description: Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases?",Chronic cholestasis,Chronic cholestatic diseases,0.2605556710562624,False,False,False
"I have symptoms such as bruising, cramps, fatigue, prominent veins on calf, swollen blood vessels, swollen legs. What the name of the disease?",Varicose veins,Varicose veins,1.0000000000000002,True,True,True
"I have symptoms such as dischromic patches, nodal skin eruptions, skin rash. What the name of the disease?",Fungal infection,Acne vulgaris,0.0,False,False,False
"I have symptoms such as dizziness, loss of balance, chest pain, headache. What the name of the disease?",Hypertension,Hypertension,1.0,True,True,True
"I have symptoms such as back pain, dizziness, loss of balance, neck pain. What the name of the disease?",Cervical spondylosis,Cervical spondylosis,1.0000000000000002,True,True,True
"I have symptoms such as blister, high fever, red sore around nose, yellow crust ooze. What the name of the disease?",Impetigo,Impetigo,1.0,True,True,True
"I have symptoms such as blister, red sore around nose, high fever, skin rash. What the name of the disease?",Impetigo,Impetigo,1.0,True,True,True
"What is the disease name based on this description: Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .?",Dimorphic hemorrhoids(piles),Dimorphic hemorrhoids(piles),1.0000000000000002,True,True,True
"I have symptoms such as sweating, rusty sputum, chest pain, fast heart rate, fatigue, breathlessness, chills, cough, malaise. What the name of the disease?",Pneumonia,Pneumonia,1.0,True,True,True
"I have symptoms such as back pain, chills, fatigue, headache, high fever, joint pain, loss of appetite, malaise, muscle pain, nausea, pain behind the eyes, red spots over body, skin rash. What the name of the disease?",Dengue,Dengue,1.0,True,True,True
"I have symptoms such as skin rash, scurring. What the name of the disease?",Acne,Impetigo,0.0,False,False,False
"I have symptoms such as abnormal menstruation, excessive hunger, fast heart rate, fatigue, irritability, mood swings, muscle weakness, restlessness, sweating, weight loss. What the name of the disease?",Hyperthyroidism,Hyperthyroidism,1.0,True,True,True
"I have symptoms such as yellowing of eyes, nausea, joint pain, yellowish skin, abdominal pain, loss of appetite. What the name of the disease?",Hepatitis D,Chronic cholestasis,0.0,False,False,False
"I have symptoms such as small dents in nails, joint pain, inflammatory nails, skin rash. What the name of the disease?",Psoriasis,Psoriasis,1.0,True,True,True
"I have symptoms such as prominent veins on calf, bruising, cramps, obesity, swollen blood vessels, swollen legs. What the name of the disease?",Varicose veins,Varicose veins,1.0000000000000002,True,True,True
"I have symptoms such as belly pain, chills, constipation, diarrhea, fatigue, headache, high fever, nausea, toxic look (typhos), vomiting. What the name of the disease?",Typhoid,Typhoid,1.0,True,True,True
What is the description of the disease Peptic ulcer disease?,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","break in the inner lining of the stomach, the first part of the small intestine",0.3740055780907926,False,False,False
"I have symptoms such as breathlessness, cough, family history, fatigue, mucoid sputum. What the name of the disease?",Bronchial Asthma,Pneumonia,0.0,False,False,False
"I have symptoms such as abdominal pain, dark urine, fatigue, itching, lethargy, loss of appetite, malaise, receiving blood transfusion, receiving unsterile injections, yellow urine, yellowing of eyes, yellowish skin. What the name of the disease?",Hepatitis B,Hepatitis E,1.0,True,True,False
"I have symptoms such as itching, skin rash, spotting urination, stomach pain. What the name of the disease?",Drug Reaction,Jaundice,0.0,False,False,False
"I have symptoms such as chest pain, dizziness, lack of concentration, loss of balance. What the name of the disease?",Hypertension,Hypertension,1.0,True,True,True
"I have symptoms such as nausea, diarrhea, sweating, headache, muscle pain, vomiting, high fever. What the name of the disease?",Malaria,Typhoid,0.0,False,False,False
"I have symptoms such as breathlessness, chest pain, vomiting. What the name of the disease?",Heart attack,Pneumonia,0.0,False,False,False
"I have symptoms such as blurred and distorted vision, excessive hunger, fatigue, increased appetite, irregular sugar level, lethargy, polyuria, restlessness, weight loss. What the name of the disease?",Diabetes,Diabetes,1.0,True,True,True
"I have symptoms such as mild fever, abdominal pain, yellowish skin, loss of appetite, yellowing of eyes, dark urine, joint pain, diarrhea. What the name of the disease?",hepatitis A,Hepatitis E,1.0,True,True,False
"I have symptoms such as acidity, depression, excessive hunger, headache, indigestion, irritability, stiff neck, visual disturbances. What the name of the disease?",Migraine,Migraine,1.0,True,True,True
"I have symptoms such as abdominal pain, distention of abdomen, fluid overload, history of alcohol consumption, swelling of stomach, vomiting, yellowish skin. What the name of the disease?",Alcoholic hepatitis,alcohol hepatitis,0.33609692727625756,False,False,False
"I have symptoms such as abdominal pain, dark urine, fatigue, loss of appetite, nausea, vomiting, yellowing of eyes, yellowish skin. What the name of the disease?",Hepatitis D,Jaundice,0.0,False,False,False
"I have symptoms such as loss of appetite, yellowing of eyes, muscle pain, dark urine, nausea, joint pain, abdominal pain, mild fever. What the name of the disease?",hepatitis A,Jaundice,0.0,False,False,False
What is the description of the disease Acne?,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",Acne vulgaris,0.3047380022984822,False,False,False
"I have symptoms such as muscle weakness, painful walking, stiff neck. What the name of the disease?",Arthritis,Arthritis,1.0,True,True,True
"I have symptoms such as yellowing of eyes, abdominal pain, nausea, yellowish skin. What the name of the disease?",Chronic cholestasis,Jaundice Yellow staining,0.0,False,False,False
"What is the disease name based on this description: The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.?",Common Cold,Common Cold,1.0000000000000002,True,True,True
"I have symptoms such as abnormal menstruation, diarrhea, excessive hunger, fast heart rate, fatigue, irritability, mood swings, muscle weakness, restlessness, sweating. What the name of the disease?",Hyperthyroidism,Hyperthyroidism,1.0,True,True,True
"I have symptoms such as receiving blood transfusion, loss of appetite, malaise, yellowing of eyes, dark urine, lethargy, fatigue, itching, abdominal pain, receiving unsterile injections, yellowish skin. What the name of the disease?",Hepatitis B,Hepatitis B,1.0,True,True,True
"I have symptoms such as chest pain, dizziness, headache, lack of concentration, loss of balance. What the name of the disease?",Hypertension,Hypertension,1.0,True,True,True
"I have symptoms such as muscle pain, mild fever, nausea, dark urine, vomiting, loss of appetite, joint pain, diarrhea. What the name of the disease?",hepatitis A,hepatitis A,1.0,True,True,True
"I have symptoms such as blurred and distorted vision, excessive hunger, fatigue, increased appetite, lethargy, obesity, polyuria, restlessness, weight loss. What the name of the disease?",Diabetes,Diabetes,1.0,True,True,True
"I have symptoms such as back pain, fatigue, headache, high fever, joint pain, loss of appetite, malaise, muscle pain, nausea, pain behind the eyes, red spots over body, skin rash, vomiting. What the name of the disease?",Dengue,Dengue,1.0,True,True,True
"I have symptoms such as hip joint pain, knee pain, neck pain, painful walking, swelling joints. What the name of the disease?",Osteoarthristis,Osteoarthristis,1.0,True,True,True
"I have symptoms such as high fever, muscle wasting, patches in throat. What the name of the disease?",AIDS,Jaundice,0.0,False,False,False
"I have symptoms such as prominent veins on calf, obesity, swollen legs, swollen blood vessels, cramps. What the name of the disease?",Varicose veins,Varicose veins,1.0000000000000002,True,True,True
"I have symptoms such as blood in sputum, breathlessness, chest pain, chills, cough, high fever, loss of appetite, malaise, mild fever, phlegm, sweating, swelled lymph nodes, vomiting, weight loss, yellowing of eyes. What the name of the disease?",Tuberculosis,Dengue,0.0,False,False,False
"I have symptoms such as chills, continuous sneezing, watering from eyes. What the name of the disease?",Allergy,Allergy,1.0,True,True,True
"I have symptoms such as chills, diarrhea, headache, high fever, muscle pain, sweating, vomiting. What the name of the disease?",Malaria,Dengue,0.0,False,False,False
"I have symptoms such as family history, fatigue, loss of appetite, nausea, yellowing of eyes, yellowish skin. What the name of the disease?",Hepatitis C,cholestasis,0.0,False,False,False
"I have symptoms such as inflammatory nails, joint pain, silver like dusting, skin peeling, skin rash. What the name of the disease?",Psoriasis,Psoriasis,1.0,True,True,True
"I have symptoms such as cramps, fatigue, obesity, prominent veins on calf, swollen blood vessels, swollen legs. What the name of the disease?",Varicose veins,Varicose veins,1.0000000000000002,True,True,True
"I have symptoms such as chest pain, chills, congestion, continuous sneezing, cough, fatigue, headache, high fever, loss of smell, malaise, muscle pain, phlegm, redness of eyes, runny nose, sinus pressure, swelled lymph nodes, throat irritation. What the name of the disease?",Common Cold,Common Cold,1.0000000000000002,True,True,True
"I have symptoms such as pus filled pimples, scurring, skin rash. What the name of the disease?",Acne,Acne vulgaris,0.5797386715376658,True,False,True
"I have symptoms such as abdominal pain, dark urine, diarrhea, joint pain, loss of appetite, mild fever, muscle pain, vomiting, yellowing of eyes, yellowish skin. What the name of the disease?",hepatitis A,Jaundice,0.0,False,False,False
"What is the disease name based on this description: Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.?",Pneumonia,alveoli,0.0,False,False,False
What is the description of the disease Dimorphic hemorrhoids(piles)?,"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .",haemorrhoids,0.4103626449521847,False,False,False
"I have symptoms such as breathlessness, chest pain, chills, cough, fast heart rate, high fever, malaise, phlegm, rusty sputum, sweating. What the name of the disease?",Pneumonia,Pneumonia,1.0,True,True,True
"I have symptoms such as yellow crust ooze, skin rash, high fever, blister. What the name of the disease?",Impetigo,Impetigo,1.0,True,True,True
"I have symptoms such as skin rash, blackheads, scurring. What the name of the disease?",Acne,Acne,1.0,True,True,True
"I have symptoms such as headache, vomiting, weakness of one body side. What the name of the disease?",Paralysis (brain hemorrhage),Gastroenteritis,0.0,False,False,False
What is the description of the disease (vertigo) Paroymsal  Positional Vertigo?,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,Cervical spondylosis,0.0,False,False,False
"I have symptoms such as vomiting, chest pain. What the name of the disease?",Heart attack,GERD,0.0,False,False,False
"I have symptoms such as yellowish skin, fatigue, joint pain, loss of appetite, vomiting, yellowing of eyes. What the name of the disease?",Hepatitis D,Hepatitis E,1.0,True,True,False
"I have symptoms such as extra marital contacts, high fever, muscle wasting, patches in throat. What the name of the disease?",AIDS,AIDS,1.0,True,True,True
"I have symptoms such as fatigue, headache, high fever, itching, lethargy, loss of appetite, malaise, red spots over body, skin rash, swelled lymph nodes. What the name of the disease?",Chicken pox,Chicken pox,1.0000000000000002,True,True,True
"I have symptoms such as fatigue, blurred and distorted vision, vomiting, headache, drying and tingling lips, slurred speech, sweating, nausea, palpitations, excessive hunger, irritability. What the name of the disease?",Hypoglycemia,Hypoglycemia,1.0,True,True,True
"I have symptoms such as dehydration, sunken eyes, vomiting. What the name of the disease?",Gastroenteritis,Gastroenteritis,1.0,True,True,True
"What is the disease name based on this description: A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.?",Migraine,Migraine,1.0,True,True,True
"I have symptoms such as red spots over body, nausea, high fever, fatigue, pain behind the eyes, loss of appetite, back pain, headache, vomiting, skin rash, malaise. What the name of the disease?",Dengue,Dengue,1.0,True,True,True
"I have symptoms such as abdominal pain, itching, loss of appetite, vomiting, yellowing of eyes, yellowish skin. What the name of the disease?",Chronic cholestasis,Jaundice,0.0,False,False,False
"I have symptoms such as family history, fatigue, loss of appetite, nausea, yellowish skin. What the name of the disease?",Hepatitis C,Jaundice,0.0,False,False,False
"I have symptoms such as diarrhea, chills, toxic look (typhos), belly pain, fatigue, vomiting, headache, high fever, nausea. What the name of the disease?",Typhoid,Typhoid,1.0,True,True,True
"I have symptoms such as headache, loss of balance, nausea, spinning movements, unsteadiness, vomiting. What the name of the disease?",(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo,0.4656462190988998,False,False,False
"I have symptoms such as headache, high fever, itching, lethargy, loss of appetite, malaise, mild fever, red spots over body, skin rash, swelled lymph nodes. What the name of the disease?",Chicken pox,Chicken pox,1.0000000000000002,True,True,True
"I have symptoms such as back pain, loss of balance, neck pain, weakness in limbs. What the name of the disease?",Cervical spondylosis,Cervical spondylosis,1.0000000000000002,True,True,True
"I have symptoms such as blurred and distorted vision, excessive hunger, fatigue, increased appetite, irregular sugar level, lethargy, obesity, polyuria, weight loss. What the name of the disease?",Diabetes,Diabetes,1.0,True,True,True
"I have symptoms such as bloody stool, constipation, irritation in anus, pain during bowel movements. What the name of the disease?",Dimorphic hemorrhoids(piles),Gastroenteritis,0.0,False,False,False
"I have symptoms such as joint pain, vomiting, dark urine, loss of appetite, fatigue, abdominal pain, nausea. What the name of the disease?",Hepatitis D,Hepatitis E,1.0,True,True,False
"I have symptoms such as mucoid sputum, family history, cough, breathlessness, fatigue. What the name of the disease?",Bronchial Asthma,Pneumonia,0.0,False,False,False
"I have symptoms such as joint pain, silver like dusting, skin peeling, skin rash, small dents in nails. What the name of the disease?",Psoriasis,Psoriasis,1.0,True,True,True
What is the disease name based on this description:  Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.?,Hypoglycemia,Hypoglycemia,1.0,True,True,True
"I have symptoms such as yellowish skin, receiving unsterile injections, dark urine, yellow urine, fatigue, itching, receiving blood transfusion, malaise, yellowing of eyes. What the name of the disease?",Hepatitis B,Hepatitis B,1.0,True,True,True
"I have symptoms such as abdominal pain, itching, loss of appetite, nausea, vomiting, yellowish skin. What the name of the disease?",Chronic cholestasis,Jaundice,0.0,False,False,False
"I have symptoms such as neck pain, swelling joints, knee pain, painful walking. What the name of the disease?",Osteoarthristis,Arthritis,0.0,False,False,False
"I have symptoms such as chills, muscle pain, sweating, vomiting, diarrhea, high fever, headache. What the name of the disease?",Malaria,Dengue,0.0,False,False,False
"I have symptoms such as high fever, muscle wasting, extra marital contacts. What the name of the disease?",AIDS,AIDS,1.0,True,True,True
"I have symptoms such as sweating, chest pain. What the name of the disease?",Heart attack,Heart attack,1.0000000000000002,True,True,True
"I have symptoms such as breathlessness, cough, family history, fatigue, high fever, mucoid sputum. What the name of the disease?",Bronchial Asthma,Bronchial Asthma,1.0000000000000002,True,True,True
"I have symptoms such as muscle weakness, sweating, irritability, fast heart rate, fatigue, diarrhea, abnormal menstruation, weight loss. What the name of the disease?",Hyperthyroidism,Hyperthyroidism,1.0,True,True,True
"I have symptoms such as high fever, fatigue, red spots over body, itching, lethargy, mild fever, malaise, skin rash, swelled lymph nodes, loss of appetite. What the name of the disease?",Chicken pox,Chicken pox,1.0000000000000002,True,True,True
