Question,qtype
How to prevent Common Cold?,precaution
What are the precautions for Common Cold?,precaution
What should I do to avoid Common Cold?,precaution
Suggest remedies for Common Cold,precaution
How can Common Cold be treated?,precaution
Ways to manage Common Cold,precaution
Preventative measures for Common Cold,precaution
Best practices to prevent Common Cold,precaution
How do I protect myself from Common Cold?,precaution
Steps to cure Common Cold,precaution
Treatment options for Common Cold,precaution
Advice on dealing with Common Cold,precaution
How to reduce risk of Common Cold?,precaution
Methods to overcome Common Cold,precaution
How to cure Dengue?,precaution
How to prevent Dengue?,precaution
What are the precautions for Dengue?,precaution
What should I do to avoid Dengue?,precaution
Suggest remedies for Dengue,precaution
How can Dengue be treated?,precaution
Ways to manage Dengue,precaution
Preventative measures for Dengue,precaution
Best practices to prevent Dengue,precaution
How do I protect myself from Dengue?,precaution
Steps to cure Dengue,precaution
Treatment options for Dengue,precaution
Advice on dealing with Dengue,precaution
How to reduce risk of Dengue?,precaution
Methods to overcome Dengue,precaution
How to cure Hyperthyroidism?,precaution
How to prevent Hyperthyroidism?,precaution
What are the precautions for Hyperthyroidism?,precaution
What should I do to avoid Hyperthyroidism?,precaution
Suggest remedies for Hyperthyroidism,precaution
How can Hyperthyroidism be treated?,precaution
Ways to manage Hyperthyroidism,precaution
Preventative measures for Hyperthyroidism,precaution
Best practices to prevent Hyperthyroidism,precaution
How do I protect myself from Hyperthyroidism?,precaution
Steps to cure Hyperthyroidism,precaution
Treatment options for Hyperthyroidism,precaution
Advice on dealing with Hyperthyroidism,precaution
How to reduce risk of Hyperthyroidism?,precaution
Methods to overcome Hyperthyroidism,precaution
How to cure Allergy?,precaution
How to prevent Allergy?,precaution
What are the precautions for Allergy?,precaution
What should I do to avoid Allergy?,precaution
Suggest remedies for Allergy,precaution
How can Allergy be treated?,precaution
Ways to manage Allergy,precaution
Preventative measures for Allergy,precaution
Best practices to prevent Allergy,precaution
How do I protect myself from Allergy?,precaution
Steps to cure Allergy,precaution
Treatment options for Allergy,precaution
Advice on dealing with Allergy,precaution
How to reduce risk of Allergy?,precaution
Methods to overcome Allergy,precaution
How to cure Typhoid?,precaution
How to prevent Typhoid?,precaution
What are the precautions for Typhoid?,precaution
What should I do to avoid Typhoid?,precaution
Suggest remedies for Typhoid,precaution
How can Typhoid be treated?,precaution
Ways to manage Typhoid,precaution
Preventative measures for Typhoid,precaution
Best practices to prevent Typhoid,precaution
How do I protect myself from Typhoid?,precaution
Steps to cure Typhoid,precaution
Treatment options for Typhoid,precaution
Advice on dealing with Typhoid,precaution
How to reduce risk of Typhoid?,precaution
Methods to overcome Typhoid,precaution
How to cure Allergy?,precaution
How to prevent Allergy?,precaution
What are the precautions for Allergy?,precaution
What should I do to avoid Allergy?,precaution
Suggest remedies for Allergy,precaution
How can Allergy be treated?,precaution
Ways to manage Allergy,precaution
Preventative measures for Allergy,precaution
Best practices to prevent Allergy,precaution
How do I protect myself from Allergy?,precaution
Steps to cure Allergy,precaution
Treatment options for Allergy,precaution
Advice on dealing with Allergy,precaution
How to reduce risk of Allergy?,precaution
Methods to overcome Allergy,precaution
How to cure Tuberculosis?,precaution
How to prevent Tuberculosis?,precaution
What are the precautions for Tuberculosis?,precaution
What should I do to avoid Tuberculosis?,precaution
Suggest remedies for Tuberculosis,precaution
How can Tuberculosis be treated?,precaution
Ways to manage Tuberculosis,precaution
Preventative measures for Tuberculosis,precaution
Best practices to prevent Tuberculosis,precaution
How do I protect myself from Tuberculosis?,precaution
Steps to cure Tuberculosis,precaution
Treatment options for Tuberculosis,precaution
Advice on dealing with Tuberculosis,precaution
How to reduce risk of Tuberculosis?,precaution
Methods to overcome Tuberculosis,precaution
How to cure Heart attack?,precaution
How to prevent Heart attack?,precaution
What are the precautions for Heart attack?,precaution
What should I do to avoid Heart attack?,precaution
Suggest remedies for Heart attack,precaution
How can Heart attack be treated?,precaution
Ways to manage Heart attack,precaution
Preventative measures for Heart attack,precaution
Best practices to prevent Heart attack,precaution
How do I protect myself from Heart attack?,precaution
Steps to cure Heart attack,precaution
Treatment options for Heart attack,precaution
Advice on dealing with Heart attack,precaution
How to reduce risk of Heart attack?,precaution
Methods to overcome Heart attack,precaution
How to cure Malaria?,precaution
How to prevent Malaria?,precaution
What are the precautions for Malaria?,precaution
What should I do to avoid Malaria?,precaution
Suggest remedies for Malaria,precaution
How can Malaria be treated?,precaution
Ways to manage Malaria,precaution
Preventative measures for Malaria,precaution
Best practices to prevent Malaria,precaution
How do I protect myself from Malaria?,precaution
Steps to cure Malaria,precaution
Treatment options for Malaria,precaution
Advice on dealing with Malaria,precaution
How to reduce risk of Malaria?,precaution
Methods to overcome Malaria,precaution
How to cure Bronchial Asthma?,precaution
How to prevent Bronchial Asthma?,precaution
What are the precautions for Bronchial Asthma?,precaution
What should I do to avoid Bronchial Asthma?,precaution
Suggest remedies for Bronchial Asthma,precaution
How can Bronchial Asthma be treated?,precaution
Ways to manage Bronchial Asthma,precaution
Preventative measures for Bronchial Asthma,precaution
Best practices to prevent Bronchial Asthma,precaution
How do I protect myself from Bronchial Asthma?,precaution
Steps to cure Bronchial Asthma,precaution
Treatment options for Bronchial Asthma,precaution
Advice on dealing with Bronchial Asthma,precaution
How to reduce risk of Bronchial Asthma?,precaution
Methods to overcome Bronchial Asthma,precaution
How to cure Cervical spondylosis?,precaution
How to prevent Cervical spondylosis?,precaution
What are the precautions for Cervical spondylosis?,precaution
What should I do to avoid Cervical spondylosis?,precaution
Suggest remedies for Cervical spondylosis,precaution
How can Cervical spondylosis be treated?,precaution
Ways to manage Cervical spondylosis,precaution
Preventative measures for Cervical spondylosis,precaution
Best practices to prevent Cervical spondylosis,precaution
How do I protect myself from Cervical spondylosis?,precaution
Steps to cure Cervical spondylosis,precaution
Treatment options for Cervical spondylosis,precaution
Advice on dealing with Cervical spondylosis,precaution
How to reduce risk of Cervical spondylosis?,precaution
Methods to overcome Cervical spondylosis,precaution
How to cure Paralysis (brain hemorrhage)?,precaution
How to prevent Paralysis (brain hemorrhage)?,precaution
What are the precautions for Paralysis (brain hemorrhage)?,precaution
What should I do to avoid Paralysis (brain hemorrhage)?,precaution
Suggest remedies for Paralysis (brain hemorrhage),precaution
How can Paralysis (brain hemorrhage) be treated?,precaution
Ways to manage Paralysis (brain hemorrhage),precaution
Preventative measures for Paralysis (brain hemorrhage),precaution
Best practices to prevent Paralysis (brain hemorrhage),precaution
How do I protect myself from Paralysis (brain hemorrhage)?,precaution
Steps to cure Paralysis (brain hemorrhage),precaution
Treatment options for Paralysis (brain hemorrhage),precaution
Advice on dealing with Paralysis (brain hemorrhage),precaution
How to reduce risk of Paralysis (brain hemorrhage)?,precaution
Methods to overcome Paralysis (brain hemorrhage),precaution
How to cure Paralysis (brain hemorrhage)?,precaution
How to prevent Paralysis (brain hemorrhage)?,precaution
What are the precautions for Paralysis (brain hemorrhage)?,precaution
What should I do to avoid Paralysis (brain hemorrhage)?,precaution
Suggest remedies for Paralysis (brain hemorrhage),precaution
How can Paralysis (brain hemorrhage) be treated?,precaution
Ways to manage Paralysis (brain hemorrhage),precaution
Preventative measures for Paralysis (brain hemorrhage),precaution
Best practices to prevent Paralysis (brain hemorrhage),precaution
How do I protect myself from Paralysis (brain hemorrhage)?,precaution
Steps to cure Paralysis (brain hemorrhage),precaution
Treatment options for Paralysis (brain hemorrhage),precaution
Advice on dealing with Paralysis (brain hemorrhage),precaution
How to reduce risk of Paralysis (brain hemorrhage)?,precaution
Methods to overcome Paralysis (brain hemorrhage),precaution
How to cure Migraine?,precaution
How to prevent Migraine?,precaution
What are the precautions for Migraine?,precaution
What should I do to avoid Migraine?,precaution
Suggest remedies for Migraine,precaution
How can Migraine be treated?,precaution
Ways to manage Migraine,precaution
Preventative measures for Migraine,precaution
Best practices to prevent Migraine,precaution
How do I protect myself from Migraine?,precaution
Steps to cure Migraine,precaution
Treatment options for Migraine,precaution
Advice on dealing with Migraine,precaution
How to reduce risk of Migraine?,precaution
Methods to overcome Migraine,precaution
How to cure Typhoid?,precaution
How to prevent Typhoid?,precaution
What are the precautions for Typhoid?,precaution
What should I do to avoid Typhoid?,precaution
Suggest remedies for Typhoid,precaution
How can Typhoid be treated?,precaution
Ways to manage Typhoid,precaution
Preventative measures for Typhoid,precaution
Best practices to prevent Typhoid,precaution
How do I protect myself from Typhoid?,precaution
Steps to cure Typhoid,precaution
Treatment options for Typhoid,precaution
Advice on dealing with Typhoid,precaution
How to reduce risk of Typhoid?,precaution
Methods to overcome Typhoid,precaution
How to cure Hyperthyroidism?,precaution
How to prevent Hyperthyroidism?,precaution
What are the precautions for Hyperthyroidism?,precaution
What should I do to avoid Hyperthyroidism?,precaution
Suggest remedies for Hyperthyroidism,precaution
How can Hyperthyroidism be treated?,precaution
Ways to manage Hyperthyroidism,precaution
Preventative measures for Hyperthyroidism,precaution
Best practices to prevent Hyperthyroidism,precaution
How do I protect myself from Hyperthyroidism?,precaution
Steps to cure Hyperthyroidism,precaution
Treatment options for Hyperthyroidism,precaution
Advice on dealing with Hyperthyroidism,precaution
How to reduce risk of Hyperthyroidism?,precaution
Methods to overcome Hyperthyroidism,precaution
How to cure GERD?,precaution
How to prevent GERD?,precaution
What are the precautions for GERD?,precaution
What should I do to avoid GERD?,precaution
Suggest remedies for GERD,precaution
How can GERD be treated?,precaution
Ways to manage GERD,precaution
Preventative measures for GERD,precaution
Best practices to prevent GERD,precaution
How do I protect myself from GERD?,precaution
Steps to cure GERD,precaution
Treatment options for GERD,precaution
Advice on dealing with GERD,precaution
How to reduce risk of GERD?,precaution
Methods to overcome GERD,precaution
How to cure AIDS?,precaution
How to prevent AIDS?,precaution
What are the precautions for AIDS?,precaution
What should I do to avoid AIDS?,precaution
Suggest remedies for AIDS,precaution
How can AIDS be treated?,precaution
Ways to manage AIDS,precaution
Preventative measures for AIDS,precaution
Best practices to prevent AIDS,precaution
How do I protect myself from AIDS?,precaution
Steps to cure AIDS,precaution
Treatment options for AIDS,precaution
Advice on dealing with AIDS,precaution
How to reduce risk of AIDS?,precaution
Methods to overcome AIDS,precaution
How to cure Acne?,precaution
How to prevent Acne?,precaution
What are the precautions for Acne?,precaution
What should I do to avoid Acne?,precaution
Suggest remedies for Acne,precaution
How can Acne be treated?,precaution
Ways to manage Acne,precaution
Preventative measures for Acne,precaution
Best practices to prevent Acne,precaution
How do I protect myself from Acne?,precaution
Steps to cure Acne,precaution
Treatment options for Acne,precaution
Advice on dealing with Acne,precaution
How to reduce risk of Acne?,precaution
Methods to overcome Acne,precaution
How to cure Hyperthyroidism?,precaution
How to prevent Hyperthyroidism?,precaution
What are the precautions for Hyperthyroidism?,precaution
What should I do to avoid Hyperthyroidism?,precaution
Suggest remedies for Hyperthyroidism,precaution
How can Hyperthyroidism be treated?,precaution
Ways to manage Hyperthyroidism,precaution
Preventative measures for Hyperthyroidism,precaution
Best practices to prevent Hyperthyroidism,precaution
How do I protect myself from Hyperthyroidism?,precaution
Steps to cure Hyperthyroidism,precaution
Treatment options for Hyperthyroidism,precaution
Advice on dealing with Hyperthyroidism,precaution
How to reduce risk of Hyperthyroidism?,precaution
Methods to overcome Hyperthyroidism,precaution
How to cure Arthritis?,precaution
How to prevent Arthritis?,precaution
What are the precautions for Arthritis?,precaution
What should I do to avoid Arthritis?,precaution
Suggest remedies for Arthritis,precaution
How can Arthritis be treated?,precaution
Ways to manage Arthritis,precaution
Preventative measures for Arthritis,precaution
Best practices to prevent Arthritis,precaution
How do I protect myself from Arthritis?,precaution
Steps to cure Arthritis,precaution
Treatment options for Arthritis,precaution
Advice on dealing with Arthritis,precaution
How to reduce risk of Arthritis?,precaution
Methods to overcome Arthritis,precaution
How to cure Pneumonia?,precaution
How to prevent Pneumonia?,precaution
What are the precautions for Pneumonia?,precaution
What should I do to avoid Pneumonia?,precaution
Suggest remedies for Pneumonia,precaution
How can Pneumonia be treated?,precaution
Ways to manage Pneumonia,precaution
Preventative measures for Pneumonia,precaution
Best practices to prevent Pneumonia,precaution
How do I protect myself from Pneumonia?,precaution
Steps to cure Pneumonia,precaution
Treatment options for Pneumonia,precaution
Advice on dealing with Pneumonia,precaution
How to reduce risk of Pneumonia?,precaution
Methods to overcome Pneumonia,precaution
How to cure Jaundice?,precaution
How to prevent Jaundice?,precaution
What are the precautions for Jaundice?,precaution
What should I do to avoid Jaundice?,precaution
Suggest remedies for Jaundice,precaution
How can Jaundice be treated?,precaution
Ways to manage Jaundice,precaution
Preventative measures for Jaundice,precaution
Best practices to prevent Jaundice,precaution
How do I protect myself from Jaundice?,precaution
Steps to cure Jaundice,precaution
Treatment options for Jaundice,precaution
Advice on dealing with Jaundice,precaution
How to reduce risk of Jaundice?,precaution
Methods to overcome Jaundice,precaution
How to cure Malaria?,precaution
How to prevent Malaria?,precaution
What are the precautions for Malaria?,precaution
What should I do to avoid Malaria?,precaution
Suggest remedies for Malaria,precaution
How can Malaria be treated?,precaution
Ways to manage Malaria,precaution
Preventative measures for Malaria,precaution
Best practices to prevent Malaria,precaution
How do I protect myself from Malaria?,precaution
Steps to cure Malaria,precaution
Treatment options for Malaria,precaution
Advice on dealing with Malaria,precaution
How to reduce risk of Malaria?,precaution
Methods to overcome Malaria,precaution
How to cure Gastroenteritis?,precaution
How to prevent Gastroenteritis?,precaution
What are the precautions for Gastroenteritis?,precaution
What should I do to avoid Gastroenteritis?,precaution
Suggest remedies for Gastroenteritis,precaution
How can Gastroenteritis be treated?,precaution
Ways to manage Gastroenteritis,precaution
Preventative measures for Gastroenteritis,precaution
Best practices to prevent Gastroenteritis,precaution
How do I protect myself from Gastroenteritis?,precaution
Steps to cure Gastroenteritis,precaution
Treatment options for Gastroenteritis,precaution
Advice on dealing with Gastroenteritis,precaution
How to reduce risk of Gastroenteritis?,precaution
Methods to overcome Gastroenteritis,precaution
How to cure Cervical spondylosis?,precaution
How to prevent Cervical spondylosis?,precaution
What are the precautions for Cervical spondylosis?,precaution
What should I do to avoid Cervical spondylosis?,precaution
Suggest remedies for Cervical spondylosis,precaution
How can Cervical spondylosis be treated?,precaution
Ways to manage Cervical spondylosis,precaution
Preventative measures for Cervical spondylosis,precaution
Best practices to prevent Cervical spondylosis,precaution
How do I protect myself from Cervical spondylosis?,precaution
Steps to cure Cervical spondylosis,precaution
Treatment options for Cervical spondylosis,precaution
Advice on dealing with Cervical spondylosis,precaution
How to reduce risk of Cervical spondylosis?,precaution
Methods to overcome Cervical spondylosis,precaution
How to cure Typhoid?,precaution
How to prevent Typhoid?,precaution
What are the precautions for Typhoid?,precaution
What should I do to avoid Typhoid?,precaution
Suggest remedies for Typhoid,precaution
How can Typhoid be treated?,precaution
Ways to manage Typhoid,precaution
Preventative measures for Typhoid,precaution
Best practices to prevent Typhoid,precaution
How do I protect myself from Typhoid?,precaution
Steps to cure Typhoid,precaution
Treatment options for Typhoid,precaution
Advice on dealing with Typhoid,precaution
How to reduce risk of Typhoid?,precaution
Methods to overcome Typhoid,precaution
How to cure Diabetes?,precaution
How to prevent Diabetes?,precaution
What are the precautions for Diabetes?,precaution
What should I do to avoid Diabetes?,precaution
Suggest remedies for Diabetes,precaution
How can Diabetes be treated?,precaution
Ways to manage Diabetes,precaution
Preventative measures for Diabetes,precaution
Best practices to prevent Diabetes,precaution
How do I protect myself from Diabetes?,precaution
Steps to cure Diabetes,precaution
Treatment options for Diabetes,precaution
Advice on dealing with Diabetes,precaution
How to reduce risk of Diabetes?,precaution
Methods to overcome Diabetes,precaution
How to cure Dimorphic hemmorhoids(piles)?,precaution
How to prevent Dimorphic hemmorhoids(piles)?,precaution
What are the precautions for Dimorphic hemmorhoids(piles)?,precaution
What should I do to avoid Dimorphic hemmorhoids(piles)?,precaution
Suggest remedies for Dimorphic hemmorhoids(piles),precaution
How can Dimorphic hemmorhoids(piles) be treated?,precaution
Ways to manage Dimorphic hemmorhoids(piles),precaution
Preventative measures for Dimorphic hemmorhoids(piles),precaution
Best practices to prevent Dimorphic hemmorhoids(piles),precaution
How do I protect myself from Dimorphic hemmorhoids(piles)?,precaution
Steps to cure Dimorphic hemmorhoids(piles),precaution
Treatment options for Dimorphic hemmorhoids(piles),precaution
Advice on dealing with Dimorphic hemmorhoids(piles),precaution
How to reduce risk of Dimorphic hemmorhoids(piles)?,precaution
Methods to overcome Dimorphic hemmorhoids(piles),precaution
How to cure Gastroenteritis?,precaution
How to prevent Gastroenteritis?,precaution
What are the precautions for Gastroenteritis?,precaution
What should I do to avoid Gastroenteritis?,precaution
Suggest remedies for Gastroenteritis,precaution
How can Gastroenteritis be treated?,precaution
Ways to manage Gastroenteritis,precaution
Preventative measures for Gastroenteritis,precaution
Best practices to prevent Gastroenteritis,precaution
How do I protect myself from Gastroenteritis?,precaution
Steps to cure Gastroenteritis,precaution
Treatment options for Gastroenteritis,precaution
Advice on dealing with Gastroenteritis,precaution
How to reduce risk of Gastroenteritis?,precaution
Methods to overcome Gastroenteritis,precaution
How to cure Bronchial Asthma?,precaution
How to prevent Bronchial Asthma?,precaution
What are the precautions for Bronchial Asthma?,precaution
What should I do to avoid Bronchial Asthma?,precaution
Suggest remedies for Bronchial Asthma,precaution
How can Bronchial Asthma be treated?,precaution
Ways to manage Bronchial Asthma,precaution
Preventative measures for Bronchial Asthma,precaution
Best practices to prevent Bronchial Asthma,precaution
How do I protect myself from Bronchial Asthma?,precaution
Steps to cure Bronchial Asthma,precaution
Treatment options for Bronchial Asthma,precaution
Advice on dealing with Bronchial Asthma,precaution
How to reduce risk of Bronchial Asthma?,precaution
Methods to overcome Bronchial Asthma,precaution
How to cure Peptic ulcer diseae?,precaution
How to prevent Peptic ulcer diseae?,precaution
What are the precautions for Peptic ulcer diseae?,precaution
What should I do to avoid Peptic ulcer diseae?,precaution
Suggest remedies for Peptic ulcer diseae,precaution
How can Peptic ulcer diseae be treated?,precaution
Ways to manage Peptic ulcer diseae,precaution
Preventative measures for Peptic ulcer diseae,precaution
Best practices to prevent Peptic ulcer diseae,precaution
How do I protect myself from Peptic ulcer diseae?,precaution
Steps to cure Peptic ulcer diseae,precaution
Treatment options for Peptic ulcer diseae,precaution
Advice on dealing with Peptic ulcer diseae,precaution
How to reduce risk of Peptic ulcer diseae?,precaution
Methods to overcome Peptic ulcer diseae,precaution
How to cure Hepatitis B?,precaution
How to prevent Hepatitis B?,precaution
What are the precautions for Hepatitis B?,precaution
What should I do to avoid Hepatitis B?,precaution
Suggest remedies for Hepatitis B,precaution
How can Hepatitis B be treated?,precaution
Ways to manage Hepatitis B,precaution
Preventative measures for Hepatitis B,precaution
Best practices to prevent Hepatitis B,precaution
How do I protect myself from Hepatitis B?,precaution
Steps to cure Hepatitis B,precaution
Treatment options for Hepatitis B,precaution
Advice on dealing with Hepatitis B,precaution
How to reduce risk of Hepatitis B?,precaution
Methods to overcome Hepatitis B,precaution
How to cure Pneumonia?,precaution
How to prevent Pneumonia?,precaution
What are the precautions for Pneumonia?,precaution
What should I do to avoid Pneumonia?,precaution
Suggest remedies for Pneumonia,precaution
How can Pneumonia be treated?,precaution
Ways to manage Pneumonia,precaution
Preventative measures for Pneumonia,precaution
Best practices to prevent Pneumonia,precaution
How do I protect myself from Pneumonia?,precaution
Steps to cure Pneumonia,precaution
Treatment options for Pneumonia,precaution
